总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,装修情况
639.0,105463,"['东城', '和平里']",2室1厅1厨1卫,高楼层 ,60.59,平层,简装
598.0,106958,"['东城', '东花市']",2室1厅1厨1卫,中楼层 ,55.91,平层,简装
680.0,83559,"['东城', '广渠门']",3室1厅1厨1卫,顶层 ,81.38,平层,简装
550.0,88453,"['东城', '广渠门']",2室1厅1厨1卫,低楼层 ,62.18,平层,简装
610.0,98578,"['东城', '东直门']",1室1厅1厨1卫,底层 ,61.88,平层,简装
530.0,80499,"['东城', '永定门']",2室1厅1厨1卫,顶层 ,65.84,平层,简装
790.0,113670,"['东城', '朝阳门内']",2室1厅1厨1卫,中楼层 ,69.5,平层,精装
1055.0,120945,"['东城', '和平里']",3室1厅1厨1卫,底层 ,87.23,平层,精装
369.0,72085,"['东城', '永定门']",2室1厅1厨1卫,底层 ,51.19,平层,简装
643.0,108634,"['东城', '崇文门']",1室1厅1厨1卫,低楼层 ,59.19,平层,精装
770.0,106442,"['东城', '朝阳门内']",2室1厅1厨1卫,顶层 ,72.34,平层,精装
489.0,69688,"['东城', '永定门']",2室1厅1厨1卫,顶层 ,70.17,平层,简装
1020.0,111221,"['东城', '东花市']",2室1厅1厨1卫,中楼层 ,91.71,平层,精装
482.0,79947,"['东城', '永定门']",2室1厅1厨1卫,低楼层 ,60.29,平层,精装
646.0,106461,"['东城', '和平里']",2室1厅1厨1卫,顶层 ,60.68,平层,简装
475.0,93670,"['东城', '永定门']",2室1厅1厨1卫,低楼层 ,50.71,平层,简装
766.0,96779,"['东城', '安定门']",3室1厅1厨2卫,顶层 ,79.15,平层,简装
598.0,102661,"['东城', '灯市口']",2室1厅1厨1卫,中楼层 ,58.25,平层,精装
649.0,101804,"['东城', '广渠门']",2室1厅1厨1卫,高楼层 ,63.75,平层,精装
995.0,87565,"['东城', '永定门']",3室1厅1厨2卫,中楼层 ,113.63,平层,简装
746.0,88211,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,84.57,平层,精装
885.0,67780,"['东城', '永定门']",3室1厅1厨2卫,高楼层 ,130.57,平层,简装
550.0,70351,"['东城', '永定门']",2室1厅1厨1卫,低楼层 ,78.18,平层,精装
658.0,127941,"['东城', '和平里']",2室1厅1厨1卫,中楼层 ,51.43,平层,精装
550.0,81098,"['东城', '永定门']",2室1厅1厨1卫,高楼层 ,67.82,平层,简装
560.0,100629,"['东城', '崇文门']",2室1厅1厨1卫,高楼层 ,55.65,平层,简装
988.0,96128,"['东城', '左安门']",2室1厅1厨1卫,高楼层 ,102.78,平层,精装
968.0,119536,"['东城', '朝阳门内']",2室1厅1厨1卫,低楼层 ,80.98,平层,精装
395.0,99899,"['东城', '左安门']",2室1厅1厨1卫,中楼层 ,39.54,平层,简装
585.0,110149,"['东城', '和平里']",2室1厅1厨1卫,底层 ,53.11,平层,简装
480.0,84567,"['东城', '天坛']",2室1厅1厨1卫,中楼层 ,56.76,平层,精装
525.0,81320,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,64.56,平层,简装
590.0,99798,"['东城', '安定门']",2室1厅1厨1卫,中楼层 ,59.12,平层,精装
1095.0,125172,"['东城', '广渠门']",2室1厅1厨1卫,中楼层 ,87.48,平层,简装
680.0,101904,"['东城', '安定门']",2室1厅1厨1卫,低楼层 ,66.73,平层,简装
375.0,86887,"['东城', '永定门']",1室1厅1厨1卫,高楼层 ,43.16,平层,精装
327.5,79957,"['东城', '永定门']",1室1厅1厨1卫,低楼层 ,40.96,平层,精装
649.0,102984,"['东城', '安定门']",2室1厅1厨1卫,中楼层 ,63.02,平层,毛坯
738.0,94664,"['东城', '广渠门']",3室0厅1厨1卫,中楼层 ,77.96,平层,毛坯
465.0,65855,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,70.61,平层,简装
700.0,96194,"['东城', '前门']",3室1厅1厨1卫,中楼层 ,72.77,平层,精装
2150.0,119791,"['东城', '和平里']",3室1厅1厨2卫,高楼层 ,179.48,平层,精装
406.0,105373,"['东城', '东直门']",1室1厅1厨1卫,顶层 ,38.53,平层,简装
799.0,111081,"['东城', '广渠门']",1室1厅1厨1卫,高楼层 ,71.93,平层,简装
460.0,93193,"['东城', '左安门']",1室1厅1厨1卫,高楼层 ,49.36,平层,简装
688.0,136238,"['东城', '安定门']",2室1厅1厨1卫,顶层 ,50.5,平层,精装
405.0,108289,"['东城', '左安门']",1室0厅1厨1卫,中楼层 ,37.4,平层,简装
926.0,100260,"['东城', '金宝街']",3室1厅1厨1卫,中楼层 ,92.36,复式,精装
599.0,117521,"['东城', '朝阳门内']",1室1厅1厨1卫,低楼层 ,50.97,平层,简装
455.0,74935,"['东城', '永定门']",1室1厅1厨1卫,底层 ,60.72,平层,精装
460.0,89985,"['东城', '广渠门']",1室1厅1厨1卫,低楼层 ,51.12,平层,精装
458.0,108789,"['东城', '广渠门']",1室1厅1厨1卫,顶层 ,42.1,平层,精装
450.0,90617,"['东城', '左安门']",2室1厅1厨1卫,中楼层 ,49.66,平层,精装
1200.0,139747,"['东城', '朝阳门内']",3室1厅1厨1卫,中楼层 ,85.87,平层,简装
675.0,114059,"['东城', '崇文门']",1室1厅1厨1卫,高楼层 ,59.18,平层,精装
1110.0,94036,"['东城', '朝阳门内']",4室2厅1厨2卫,顶层 ,118.04,复式,简装
540.0,75684,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,71.35,平层,精装
1198.0,140249,"['东城', '和平里']",3室1厅1厨1卫,中楼层 ,85.42,平层,精装
828.0,118540,"['东城', '安定门']",3室1厅1厨1卫,高楼层 ,69.85,平层,简装
495.0,68589,"['东城', '永定门']",3室1厅1厨1卫,高楼层 ,72.17,平层,精装
690.0,65261,"['东城', '永定门']",2室1厅1厨1卫,高楼层 ,105.73,平层,简装
530.0,102436,"['东城', '崇文门']",1室1厅1厨1卫,中楼层 ,51.74,平层,精装
620.0,85423,"['东城', '广渠门']",3室1厅1厨1卫,低楼层 ,72.58,平层,简装
576.0,104538,"['东城', '崇文门']",2室2厅1厨1卫,中楼层 ,55.1,平层,精装
415.0,76371,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,54.34,平层,精装
430.0,68190,"['东城', '永定门']",2室1厅1厨1卫,低楼层 ,63.06,平层,毛坯
387.0,86384,"['东城', '建国门内']",1室1厅1厨1卫,底层 ,44.8,平层,简装
687.0,102278,"['东城', '东直门']",3室1厅1厨1卫,高楼层 ,67.17,平层,精装
847.0,124176,"['东城', '和平里']",3室1厅1厨1卫,中楼层 ,68.21,平层,简装
500.0,94483,"['东城', '崇文门']",1室1厅1厨1卫,低楼层 ,52.92,平层,精装
580.0,73651,"['东城', '东花市']",2室1厅1厨1卫,低楼层 ,78.75,平层,精装
1080.0,97342,"['东城', '广渠门']",2室1厅1厨1卫,高楼层 ,110.95,平层,精装
500.0,119905,"['东城', '东花市']",1室0厅1厨1卫,中楼层 ,41.7,平层,精装
628.0,91679,"['东城', '广渠门']",2室1厅1厨1卫,高楼层 ,68.5,平层,精装
560.0,87011,"['东城', '天坛']",3室1厅1厨1卫,中楼层 ,64.36,平层,简装
738.0,103290,"['东城', '东直门']",2室1厅1厨1卫,中楼层 ,71.45,平层,精装
1285.0,144904,"['东城', '灯市口']",3室1厅1厨1卫,中楼层 ,88.68,平层,精装
728.0,95214,"['东城', '东花市']",2室1厅1厨1卫,低楼层 ,76.46,平层,精装
579.0,102970,"['东城', '广渠门']",1室1厅1厨1卫,低楼层 ,56.23,平层,精装
899.0,114508,"['东城', '陶然亭']",1室1厅1厨1卫,中楼层 ,78.51,平层,精装
479.0,107135,"['东城', '朝阳门外']",1室1厅1厨1卫,低楼层 ,44.71,平层,精装
525.0,61584,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,85.25,平层,精装
736.0,99393,"['东城', '建国门内']",3室1厅1厨1卫,低楼层 ,74.05,平层,简装
1180.0,103165,"['东城', '左安门']",2室1厅1厨2卫,中楼层 ,114.38,平层,精装
535.0,83049,"['东城', '永定门']",2室1厅1厨1卫,高楼层 ,64.42,平层,精装
588.0,90268,"['东城', '和平里']",2室1厅1厨1卫,底层 ,65.14,平层,精装
835.0,119269,"['东城', '安贞']",3室1厅1厨1卫,低楼层 ,70.01,平层,精装
1486.0,156586,"['东城', '交道口']",3室1厅1厨1卫,中楼层 ,94.9,平层,精装
